game_id,quarter_seconds_remaining,yards_gained,air_yards,score_differential,incomplete_pass,interception,penalty,touchdown,complete_pass,out_of_bounds,pass_length
2025_01_CIN_CLE,570.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,411.0,5.0,5.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,371.0,5.0,-4.0,-7.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,209.0,7.0,7.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,96.0,7.0,3.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,60.0,4.0,2.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,900.0,12.0,-6.0,-7.0,0.0,0.0,1.0,0.0,1.0,0,short
2025_01_CIN_CLE,716.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,698.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,662.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,623.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,530.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,525.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,472.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,355.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,309.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,261.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_CIN_CLE,252.0,0.0,13.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,247.0,17.0,6.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,168.0,19.0,19.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_CIN_CLE,127.0,0.0,2.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,124.0,9.0,2.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,40.0,2.0,2.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,33.0,0.0,17.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,18.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,895.0,7.0,-4.0,-4.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,811.0,18.0,10.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,756.0,11.0,3.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,733.0,0.0,18.0,-4.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,728.0,13.0,13.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,614.0,14.0,4.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,567.0,5.0,-6.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,522.0,0.0,16.0,-4.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,516.0,7.0,-6.0,-4.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,444.0,5.0,5.0,-4.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_CIN_CLE,440.0,5.0,1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,353.0,0.0,30.0,-2.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,299.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,255.0,0.0,2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,249.0,10.0,10.0,-2.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_CIN_CLE,179.0,0.0,9.0,-2.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,175.0,0.0,2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,126.0,2.0,-6.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,82.0,25.0,13.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_CIN_CLE,861.0,0.0,12.0,-1.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,856.0,0.0,6.0,-1.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,808.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_CIN_CLE,803.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_CIN_CLE,790.0,8.0,-3.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,short
